id,gender,grade,major,satisfaction,use_freq,score
1,女,大一,广告学,满意,每天,86
2,男,大二,新闻学,一般,每周几次,72
3,女,大三,网络与新媒体,非常满意,每天,92
4,男,大一,广播电视,不满意,偶尔,58
5,女,大二,广告学,非常满意,每周几次,90
6,男,大三,新闻学,一般,每天,75
7,女,大一,网络与新媒体,满意,每周几次,83
8,男,大二,广播电视,非常不满意,几乎不用,45
9,女,大三,广告学,满意,每天,88
10,男,大一,新闻学,一般,偶尔,68
11,女,大二,网络与新媒体,非常满意,每天,94
12,男,大三,广播电视,不满意,偶尔,55
13,女,大一,广告学,一般,每周几次,77
14,男,大二,新闻学,满意,每天,81
15,女,大三,网络与新媒体,满意,每周几次,85
16,男,大一,广播电视,一般,几乎不用,62
17,女,大二,广告学,非常满意,每天,91
18,男,大三,新闻学,不满意,偶尔,60
19,女,大一,网络与新媒体,满意,每天,87
20,男,大二,广播电视,一般,每周几次,70
21,女,大三,广告学,满意,每天,89
22,男,大一,新闻学,非常不满意,几乎不用,48
23,女,大二,网络与新媒体,非常满意,每天,93
24,男,大三,广播电视,一般,偶尔,66
25,女,大一,广告学,满意,每周几次,82
26,男,大二,新闻学,不满意,偶尔,57
27,女,大三,网络与新媒体,满意,每天,86
28,男,大一,广播电视,一般,每周几次,73
29,女,大二,广告学,非常满意,每天,90
30,男,大三,网络与新媒体,满意,偶尔,79
31,女,大一,新闻学,一般,每周几次,74
32,男,大二,广告学,满意,每天,84
